Timestamp,Sail,TWS,TWA,BoatSpeed,Notes
2026-06-30T00:00:00.000Z,A6,4.00,95,2.80,On Target
2026-06-30T00:00:00.000Z,A6,4.00,100,2.80,On Target
2026-06-30T00:00:00.000Z,A6,4.00,105,2.80,On Target
2026-06-30T00:00:00.000Z,A6,4.00,110,2.80,On Target
2026-06-30T00:00:00.000Z,A6,4.00,115,2.80,On Target
2026-06-30T00:00:00.000Z,A6,4.00,120,2.80,On Target
2026-06-30T00:00:00.000Z,A6,6.00,95,4.70,On Target
2026-06-30T00:00:00.000Z,A6,6.00,100,4.70,On Target
2026-06-30T00:00:00.000Z,A6,6.00,105,4.70,On Target
2026-06-30T00:00:00.000Z,A6,6.00,110,4.70,On Target
2026-06-30T00:00:00.000Z,A6,6.00,115,4.70,On Target
2026-06-30T00:00:00.000Z,A6,6.00,120,4.70,On Target
2026-06-30T00:00:00.000Z,A6,8.00,95,6.60,On Target
2026-06-30T00:00:00.000Z,A6,8.00,100,6.60,On Target
2026-06-30T00:00:00.000Z,A6,8.00,105,6.60,On Target
2026-06-30T00:00:00.000Z,A6,8.00,110,6.60,On Target
2026-06-30T00:00:00.000Z,A6,8.00,115,6.60,On Target
2026-06-30T00:00:00.000Z,A6,8.00,120,6.60,On Target
2026-06-30T00:00:00.000Z,A6,10.00,95,8.50,On Target
2026-06-30T00:00:00.000Z,A6,10.00,100,8.50,On Target
2026-06-30T00:00:00.000Z,A6,10.00,105,8.50,On Target
2026-06-30T00:00:00.000Z,A6,10.00,110,8.50,On Target
2026-06-30T00:00:00.000Z,A6,10.00,115,8.50,On Target
2026-06-30T00:00:00.000Z,A6,10.00,120,8.50,On Target
2026-06-30T00:00:00.000Z,A6,12.00,95,9.17,On Target
2026-06-30T00:00:00.000Z,A6,12.00,100,9.17,On Target
2026-06-30T00:00:00.000Z,A6,12.00,105,9.17,On Target
2026-06-30T00:00:00.000Z,A6,12.00,110,9.17,On Target
2026-06-30T00:00:00.000Z,A6,12.00,115,9.17,On Target
2026-06-30T00:00:00.000Z,A6,12.00,120,9.17,On Target
2026-06-30T00:00:00.000Z,A6,14.00,95,9.83,On Target
2026-06-30T00:00:00.000Z,A6,14.00,100,9.83,On Target
2026-06-30T00:00:00.000Z,A6,14.00,105,9.83,On Target
2026-06-30T00:00:00.000Z,A6,14.00,110,9.83,On Target
2026-06-30T00:00:00.000Z,A6,14.00,115,9.83,On Target
2026-06-30T00:00:00.000Z,A6,14.00,120,9.83,On Target
2026-06-30T00:00:00.000Z,A6,16.00,95,10.50,On Target
2026-06-30T00:00:00.000Z,A6,16.00,100,10.50,On Target
2026-06-30T00:00:00.000Z,A6,16.00,105,10.50,On Target
2026-06-30T00:00:00.000Z,A6,16.00,110,10.50,On Target
2026-06-30T00:00:00.000Z,A6,16.00,115,10.50,On Target
2026-06-30T00:00:00.000Z,A6,16.00,120,10.50,On Target
2026-06-30T00:00:00.000Z,A6,18.00,95,11.16,On Target
2026-06-30T00:00:00.000Z,A6,18.00,100,11.16,On Target
2026-06-30T00:00:00.000Z,A6,18.00,105,11.16,On Target
2026-06-30T00:00:00.000Z,A6,18.00,110,11.16,On Target
2026-06-30T00:00:00.000Z,A6,18.00,115,11.16,On Target
2026-06-30T00:00:00.000Z,A6,18.00,120,11.16,On Target
2026-06-30T00:00:00.000Z,A6,20.00,95,11.82,On Target
2026-06-30T00:00:00.000Z,A6,20.00,100,11.82,On Target
2026-06-30T00:00:00.000Z,A6,20.00,105,11.82,On Target
2026-06-30T00:00:00.000Z,A6,20.00,110,11.82,On Target
2026-06-30T00:00:00.000Z,A6,20.00,115,11.82,On Target
2026-06-30T00:00:00.000Z,A6,20.00,120,11.82,On Target
2026-06-30T00:00:00.000Z,A6,22.00,95,12.48,On Target
2026-06-30T00:00:00.000Z,A6,22.00,100,12.48,On Target
2026-06-30T00:00:00.000Z,A6,22.00,105,12.48,On Target
2026-06-30T00:00:00.000Z,A6,22.00,110,12.48,On Target
2026-06-30T00:00:00.000Z,A6,22.00,115,12.48,On Target
2026-06-30T00:00:00.000Z,A6,22.00,120,12.48,On Target
2026-06-30T00:00:00.000Z,A6,24.00,95,13.14,On Target
2026-06-30T00:00:00.000Z,A6,24.00,100,13.14,On Target
2026-06-30T00:00:00.000Z,A6,24.00,105,13.14,On Target
2026-06-30T00:00:00.000Z,A6,24.00,110,13.14,On Target
2026-06-30T00:00:00.000Z,A6,24.00,115,13.14,On Target
2026-06-30T00:00:00.000Z,A6,24.00,120,13.14,On Target
2026-06-30T00:00:00.000Z,A6,26.00,95,13.80,On Target
2026-06-30T00:00:00.000Z,A6,26.00,100,13.80,On Target
2026-06-30T00:00:00.000Z,A6,26.00,105,13.80,On Target
2026-06-30T00:00:00.000Z,A6,26.00,110,13.80,On Target
2026-06-30T00:00:00.000Z,A6,26.00,115,13.80,On Target
2026-06-30T00:00:00.000Z,A6,26.00,120,13.80,On Target
2026-06-30T00:00:00.000Z,A5,4.00,110,3.10,On Target
2026-06-30T00:00:00.000Z,A5,4.00,115,3.10,On Target
2026-06-30T00:00:00.000Z,A5,4.00,120,3.10,On Target
2026-06-30T00:00:00.000Z,A5,4.00,125,3.10,On Target
2026-06-30T00:00:00.000Z,A5,4.00,130,3.10,On Target
2026-06-30T00:00:00.000Z,A5,6.00,110,4.87,On Target
